Author,Min. estimated sales,Max. estimated sales,Original language,Genre and/or major works,Number of books,Nationality
Anne Golon,100 million[161],100 million[162],French,Angélique,14,French
Frank G. Slaughter,,100 million[163],English,Medical,62,American
Edgar Rice Burroughs,100 million[164],100 million[165],English,"Tarzan, Barsoom and Pellucidar series, science fantasy",,American
John Creasey,,100 million[166],English,Crime thriller,600,British
James A. Michener,,100 million[167],English,Historical,47,American
Yasuo Uchida,,100 million[168],Japanese,Mystery,130+,Japanese
Seiichi Morimura,,100 million[168],Japanese,Mystery,350+,Japanese
Mary Higgins Clark,100 million[169],100 million[170],English,Thriller,,American
Penny Jordan,90 million[171],100 million[172],English,Romance,200+,British
Patricia Cornwell,,100 million[173],English,"Thriller, Kay Scarpetta series",34+,American
Terry Pratchett,122 million,122 million,English,Discworld and others,50+,British
